game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
FIFA 17,Bangladesh,23.68,90.36,134746.0,XOne,2016.0,Other_Sales,0.17
FIFA 17,Bangladesh,23.68,90.36,134747.0,PS3,2016.0,Other_Sales,0.1
FIFA 17,Bangladesh,23.68,90.36,134748.0,X360,2016.0,Other_Sales,0.03
FIFA 17,Bangladesh,23.68,90.36,134749.0,PC,2016.0,Other_Sales,0.01
FIFA 17,Bangladesh,23.68,90.36,151464.0,PS4,2016.0,Global_Sales,7.59
FIFA 17,Bangladesh,23.68,90.36,151465.0,XOne,2016.0,Global_Sales,2.65
FIFA 17,Bangladesh,23.68,90.36,151466.0,PS3,2016.0,Global_Sales,0.73
FIFA 17,Bangladesh,23.68,90.36,151467.0,X360,2016.0,Global_Sales,0.38
FIFA 17,Bangladesh,23.68,90.36,151468.0,PC,2016.0,Global_Sales,0.12
FIFA 17,Bangladesh,23.68,90.36,168183.0,PS4,2016.0,Critic_Score,85
FIFA 17,Bangladesh,23.68,90.36,168184.0,XOne,2016.0,Critic_Score,84
FIFA 17,Bangladesh,23.68,90.36,168187.0,PC,2016.0,Critic_Score,84
FIFA 17,Bangladesh,23.68,90.36,184902.0,PS4,2016.0,Critic_Count,41
FIFA 17,Bangladesh,23.68,90.36,184903.0,XOne,2016.0,Critic_Count,50
FIFA 17,Bangladesh,23.68,90.36,184906.0,PC,2016.0,Critic_Count,12
FIFA 17,Bangladesh,23.68,90.36,201621.0,PS4,2016.0,User_Score,5
FIFA 17,Bangladesh,23.68,90.36,201622.0,XOne,2016.0,User_Score,5.5
FIFA 17,Bangladesh,23.68,90.36,201623.0,PS3,2016.0,User_Score,3.3
FIFA 17,Bangladesh,23.68,90.36,201624.0,X360,2016.0,User_Score,1.7
FIFA 17,Bangladesh,23.68,90.36,201625.0,PC,2016.0,User_Score,4.2
FIFA 17,Bangladesh,23.68,90.36,218340.0,PS4,2016.0,User_Count,398
FIFA 17,Bangladesh,23.68,90.36,218341.0,XOne,2016.0,User_Count,201
FIFA 17,Bangladesh,23.68,90.36,218342.0,PS3,2016.0,User_Count,21
FIFA 17,Bangladesh,23.68,90.36,218343.0,X360,2016.0,User_Count,23
FIFA 17,Bangladesh,23.68,90.36,218344.0,PC,2016.0,User_Count,160
FIFA 17,Bangladesh,23.68,90.36,235059.0,PS4,2016.0,Developer,"EA Sports, EA Vancouver"
