rank,country,year,revenue,lat,long,continent,revenue_norm,temp
92,Ethiopia,2022,25,9.145,40.489673,Africa,0.053,"37,940.000"
92,Ethiopia,2021,24,9.145,40.489673,Africa,0.050,"37,940.000"
92,Ethiopia,2019,23,9.145,40.489673,Africa,0.047,"37,940.000"
93,Bosnia and Herzegovina,2021,24,43.915886,17.679076,Europe,0.050,"37,940.000"
93,Bosnia and Herzegovina,2022,24,43.915886,17.679076,Europe,0.050,"37,940.000"
93,Bosnia and Herzegovina,2020,22,43.915886,17.679076,Europe,0.045,"37,940.000"
93,Bosnia and Herzegovina,2019,19,43.915886,17.679076,Europe,0.037,"37,940.000"
94,Estonia,2020,26,58.595272,25.013607,Europe,0.055,"37,940.000"
94,Estonia,2022,24,58.595272,25.013607,Europe,0.050,"37,940.000"
94,Estonia,2019,20,58.595272,25.013607,Europe,0.040,"37,940.000"
94,Estonia,2021,13,58.595272,25.013607,Europe,0.021,"37,940.000"
95,Macau,2020,33,22.198745,113.543873,Asia,0.074,"37,940.000"
95,Macau,2022,24,22.198745,113.543873,Asia,0.050,"37,940.000"
95,Macau,2021,19,22.198745,113.543873,Asia,0.037,"37,940.000"
95,Macau,2019,11,22.198745,113.543873,Asia,0.016,"37,940.000"
96,Armenia,2019,29,40.069099,45.038189,Asia,0.063,"37,940.000"
96,Armenia,2021,26,40.069099,45.038189,Asia,0.055,"37,940.000"
96,Armenia,2022,23,40.069099,45.038189,Asia,0.047,"37,940.000"
96,Armenia,2020,16,40.069099,45.038189,Asia,0.029,"37,940.000"
97,Kenya,2020,30,-0.023559,37.906193,Africa,0.066,"37,940.000"
97,Kenya,2021,25,-0.023559,37.906193,Africa,0.053,"37,940.000"
97,Kenya,2022,23,-0.023559,37.906193,Africa,0.047,"37,940.000"
97,Kenya,2019,16,-0.023559,37.906193,Africa,0.029,"37,940.000"
98,Ghana,2021,25,7.946527,-1.023194,Africa,0.053,"37,940.000"
98,Ghana,2022,22,7.946527,-1.023194,Africa,0.045,"37,940.000"
98,Ghana,2020,21,7.946527,-1.023194,Africa,0.042,"37,940.000"
98,Ghana,2019,17,7.946527,-1.023194,Africa,0.032,"37,940.000"
99,Albania,2020,23,41.153332,20.168331,Europe,0.047,"37,940.000"
99,Albania,2022,22,41.153332,20.168331,Europe,0.045,"37,940.000"
99,Albania,2021,17,41.153332,20.168331,Europe,0.032,"37,940.000"
99,Albania,2019,11,41.153332,20.168331,Europe,0.016,"37,940.000"
100,Angola,2022,20,-11.202692,17.873887,Africa,0.040,"37,940.000"
100,Angola,2021,15,-11.202692,17.873887,Africa,0.026,"37,940.000"
100,Angola,2020,14,-11.202692,17.873887,Africa,0.024,"37,940.000"
100,Angola,2019,9,-11.202692,17.873887,Africa,0.011,"37,940.000"
101,Georgia,2022,18,42.315407,43.356892,Europe,0.034,"37,940.000"
101,Georgia,2021,14,42.315407,43.356892,Europe,0.024,"37,940.000"
101,Georgia,2020,12,42.315407,43.356892,Europe,0.018,"37,940.000"
101,Georgia,2019,5,42.315407,43.356892,Europe,0.000,"37,940.000"
102,Venezuela,2022,201,6.42375,-66.58973,South America,0.517,"37,940.000"
102,Venezuela,2021,190,6.42375,-66.58973,South America,0.488,"37,940.000"
102,Venezuela,2020,189,6.42375,-66.58973,South America,0.485,"37,940.000"
102,Venezuela,2019,172,6.42375,-66.58973,South America,0.440,"37,940.000"
103,Macedonia,2022,26,41.608635,21.745275,Europe,0.055,"37,940.000"
103,Macedonia,2021,21,41.608635,21.745275,Europe,0.042,"37,940.000"
103,Macedonia,2020,19,41.608635,21.745275,Europe,0.037,"37,940.000"
103,Macedonia,2019,15,41.608635,21.745275,Europe,0.026,"37,940.000"
104,Iceland,2022,21,64.963051,-19.020835,Europe,0.042,"37,940.000"
104,Iceland,2021,18,64.963051,-19.020835,Europe,0.034,"37,940.000"
104,Iceland,2020,16,64.963051,-19.020835,Europe,0.029,"37,940.000"
104,Iceland,2019,15,64.963051,-19.020835,Europe,0.026,"37,940.000"
105,Brunei,2022,27,4.535277,114.727669,Asia,0.058,"37,940.000"
105,Brunei,2021,24,4.535277,114.727669,Asia,0.050,"37,940.000"
105,Brunei,2020,20,4.535277,114.727669,Asia,0.040,"37,940.000"
105,Brunei,2019,12,4.535277,114.727669,Asia,0.018,"37,940.000"
