,game,platform,year,Variable,playtime
530,Rocksmith,PS3,2011,MeanPlaytime,12.68888889
531,Rocksmith,X360,2011,MeanPlaytime,12.68888889
532,Rocksmith,PC,,MeanPlaytime,12.68888889
533,Cities in Motion,PC,2011,MeanPlaytime,23.6
534,The Cursed Crusade,PS3,2011,MeanPlaytime,1.125
535,The Cursed Crusade,X360,2011,MeanPlaytime,1.125
536,The Cursed Crusade,PC,2011,MeanPlaytime,1.125
537,Alone in the Dark,X360,2008,MeanPlaytime,0.4
538,Alone in the Dark,Wii,2008,MeanPlaytime,0.4
539,Alone in the Dark,PS2,2008,MeanPlaytime,0.4
540,Alone in the Dark,PC,2008,MeanPlaytime,0.4
541,Lost Planet 2,PS3,2010,MeanPlaytime,3.9125
542,Lost Planet 2,X360,2010,MeanPlaytime,3.9125
543,Lost Planet 2,PC,2010,MeanPlaytime,3.9125
544,Bound By Flame,PS4,2014,MeanPlaytime,12.24285714
545,Prince of Persia,PS3,2008,MeanPlaytime,1.4
546,Prince of Persia,X360,2008,MeanPlaytime,1.4
547,Killer is Dead,PS3,2013,MeanPlaytime,2.42
548,Killer is Dead,X360,2013,MeanPlaytime,2.42
549,NBA 2K9,X360,2008,MeanPlaytime,32.65714286
550,NBA 2K9,PS3,2008,MeanPlaytime,32.65714286
551,NBA 2K9,PS2,2008,MeanPlaytime,32.65714286
552,World of Zoo,DS,2009,MeanPlaytime,1.2
553,World of Zoo,Wii,2009,MeanPlaytime,1.2
554,World of Zoo,PC,2009,MeanPlaytime,1.2
555,Descent,PS,1996,MeanPlaytime,6.8
556,Sonic CD,SCD,1993,MeanPlaytime,1.828571429
557,Tom Clancy's Splinter Cell,XB,2002,MeanPlaytime,1.1
558,Tom Clancy's Splinter Cell,PS2,2003,MeanPlaytime,1.1
559,Tom Clancy's Splinter Cell,GC,2003,MeanPlaytime,1.1
560,Tom Clancy's Splinter Cell,GBA,2003,MeanPlaytime,1.1
561,Take On Helicopters,PC,2011,MeanPlaytime,7.514285714
562,Railroad Tycoon 3,PC,2003,MeanPlaytime,3.52
563,DarkStar One,PC,2006,MeanPlaytime,13.96666667
564,Rayman Origins,PS3,2011,MeanPlaytime,12.06
565,Rayman Origins,X360,2011,MeanPlaytime,12.06
566,Rayman Origins,Wii,2011,MeanPlaytime,12.06
567,Rayman Origins,PSV,2012,MeanPlaytime,12.06
568,Rayman Origins,3DS,2012,MeanPlaytime,12.06
569,Rayman Origins,PC,2012,MeanPlaytime,12.06
570,Order of War,PC,2009,MeanPlaytime,4.633333333
571,War for the Overworld,PC,2015,MeanPlaytime,10.15454545
572,Assassin's Creed Syndicate,PS4,2015,MeanPlaytime,32.13333333
573,Assassin's Creed Syndicate,XOne,2015,MeanPlaytime,32.13333333
574,Assassin's Creed Syndicate,PC,2015,MeanPlaytime,32.13333333
575,The Bard's Tale,PS2,2004,MeanPlaytime,2.583333333
576,The Bard's Tale,XB,2004,MeanPlaytime,2.583333333
577,Demigod,PC,2009,MeanPlaytime,13.09090909
578,F1 2010,PS3,2010,MeanPlaytime,18.51666667
579,F1 2010,X360,2010,MeanPlaytime,18.51666667
580,F1 2010,PC,2010,MeanPlaytime,18.51666667
581,Mechanic Escape,PS3,2012,MeanPlaytime,2.033333333
582,The Inner World,PC,2013,MeanPlaytime,1.3
583,Age of Empires Online,PC,2011,MeanPlaytime,83.2
584,Act of Aggression,PC,2015,MeanPlaytime,4.25
585,Port Royale 3,PS3,,MeanPlaytime,16.30909091
586,Port Royale 3,X360,,MeanPlaytime,16.30909091
587,F1 2015,PS4,2015,MeanPlaytime,18.9
588,F1 2015,XOne,2015,MeanPlaytime,18.9
589,F1 2015,PC,2015,MeanPlaytime,18.9
590,Stronghold Legends,PC,2006,MeanPlaytime,4.483333333
591,Dragon Age II,X360,2011,MeanPlaytime,74.56
592,Dragon Age II,PS3,2011,MeanPlaytime,74.56
593,Dragon Age II,PC,2011,MeanPlaytime,74.56
594,F1 2011,PS3,2011,MeanPlaytime,15.74
595,F1 2011,X360,2011,MeanPlaytime,15.74
596,F1 2011,PC,2011,MeanPlaytime,15.74
597,F1 2011,3DS,2011,MeanPlaytime,15.74
598,F1 2011,PSV,2011,MeanPlaytime,15.74
599,Quake 4,X360,2005,MeanPlaytime,1.5
600,Quake 4,PC,2005,MeanPlaytime,1.5
601,Sacred 3,PS3,2014,MeanPlaytime,26.08333333
602,Sacred 3,X360,2014,MeanPlaytime,26.08333333
603,Sacred 3,PC,2014,MeanPlaytime,26.08333333
604,Front Mission Evolved,PS3,2010,MeanPlaytime,8.185714286
605,Front Mission Evolved,X360,2010,MeanPlaytime,8.185714286
606,Front Mission Evolved,PC,2010,MeanPlaytime,8.185714286
607,Quake,N64,1998,MeanPlaytime,3.1875
608,DiRT,PS3,2007,MeanPlaytime,4
609,DiRT,X360,2007,MeanPlaytime,4
610,DiRT,PC,2007,MeanPlaytime,4
611,Fairy Fencer F,PS3,2013,MeanPlaytime,26.05
612,Rugby League Team Manager 2015,PC,2015,MeanPlaytime,10.25
613,MLB Front Office Manager,PS3,2009,MeanPlaytime,31.96666667
614,MLB Front Office Manager,X360,2009,MeanPlaytime,31.96666667
615,Guilty Gear X2 #Reload,XB,2004,MeanPlaytime,0.55
616,Euro Truck Simulator,PC,2008,MeanPlaytime,1.4375
617,Pro Evolution Soccer 2016,PS4,2015,MeanPlaytime,54.66666667
618,Pro Evolution Soccer 2016,PS3,2015,MeanPlaytime,54.66666667
619,Pro Evolution Soccer 2016,XOne,2015,MeanPlaytime,54.66666667
620,Pro Evolution Soccer 2016,X360,2015,MeanPlaytime,54.66666667
621,Pro Evolution Soccer 2016,PC,2015,MeanPlaytime,54.66666667
622,Emergency 2012,PC,2010,MeanPlaytime,46
623,Emergency 2012,DS,2010,MeanPlaytime,46
624,Cities XL 2011,PC,2010,MeanPlaytime,10.87142857
625,Terminator Salvation,PS3,2009,MeanPlaytime,3.7
626,Terminator Salvation,X360,2009,MeanPlaytime,3.7
627,World in Conflict,PC,2007,MeanPlaytime,0.55
628,Unreal Tournament 2004,PC,2004,MeanPlaytime,4.209090909
629,Max Payne,PS2,2001,MeanPlaytime,5.06875
630,Max Payne,XB,2001,MeanPlaytime,5.06875
631,Max Payne,GBA,2003,MeanPlaytime,5.06875
632,Max Payne,PC,2001,MeanPlaytime,5.06875
633,Platypus,PSP,2006,MeanPlaytime,3.05
634,Knights of Honor,PC,2004,MeanPlaytime,39.8
635,Virtua Tennis 4,PS3,2011,MeanPlaytime,2.5
636,Virtua Tennis 4,X360,2011,MeanPlaytime,2.5
637,Virtua Tennis 4,Wii,2011,MeanPlaytime,2.5
638,Virtua Tennis 4,PC,2011,MeanPlaytime,2.5
639,NBA 2K13,X360,2012,MeanPlaytime,50.78333333
640,NBA 2K13,PS3,2012,MeanPlaytime,50.78333333
641,NBA 2K13,Wii,2012,MeanPlaytime,50.78333333
642,NBA 2K13,WiiU,2012,MeanPlaytime,50.78333333
643,NBA 2K13,PC,2012,MeanPlaytime,50.78333333
644,F1 Race Stars,PS3,2012,MeanPlaytime,5.475
645,F1 Race Stars,X360,2012,MeanPlaytime,5.475
646,F1 Race Stars,PC,2012,MeanPlaytime,5.475
647,Darkspore,PC,2011,MeanPlaytime,25.16666667
648,Silent Hunter III,PC,2005,MeanPlaytime,3.95
649,Grand Theft Auto 2,PS,1998,MeanPlaytime,2.616666667
650,Mafia,PS2,2004,MeanPlaytime,8.65
651,Mafia,XB,2004,MeanPlaytime,8.65
652,Mafia,PC,2002,MeanPlaytime,8.65
653,Blades of Time,X360,2012,MeanPlaytime,8.116666667
654,Blades of Time,PS3,2012,MeanPlaytime,8.116666667
655,The 7th Guest,PC,1992,MeanPlaytime,0.25
656,Dungeons 2,PS4,2016,MeanPlaytime,14.48333333
657,Hotel Giant 2,PC,2008,MeanPlaytime,44
658,East India Company,PC,2009,MeanPlaytime,50
659,Crysis 2,X360,2011,MeanPlaytime,22.34285714
660,Crysis 2,PS3,2011,MeanPlaytime,22.34285714
661,Crysis 2,PC,2011,MeanPlaytime,22.34285714
662,Contrast,PC,2013,MeanPlaytime,4.1
663,TimeShift,X360,2007,MeanPlaytime,4.3
664,TimeShift,PS3,2007,MeanPlaytime,4.3
665,TimeShift,PC,2007,MeanPlaytime,4.3
666,Tomb Raider Chronicles,PS,1999,MeanPlaytime,1.7
667,MDK,PS,1997,MeanPlaytime,1.1
668,The Void,PC,2008,MeanPlaytime,0.825
669,Arx Fatalis,XB,2003,MeanPlaytime,12.46
670,Dark Void,PS3,2010,MeanPlaytime,0.4
671,Dark Void,X360,2010,MeanPlaytime,0.4
672,Dark Void,PC,2010,MeanPlaytime,0.4
673,Ship Simulator Extremes,PC,2010,MeanPlaytime,15.43333333
674,Lost Horizon,PC,2010,MeanPlaytime,18.63333333
675,The Next BIG Thing,PC,2011,MeanPlaytime,1.35
676,Enemy Front,PS3,2014,MeanPlaytime,11.42
677,Enemy Front,X360,2014,MeanPlaytime,11.42
678,Street Fighter X Tekken,PS3,2012,MeanPlaytime,4.475
679,Street Fighter X Tekken,X360,2012,MeanPlaytime,4.475
680,Street Fighter X Tekken,PSV,2012,MeanPlaytime,4.475
681,Street Fighter X Tekken,PC,2012,MeanPlaytime,4.475
682,Wolfenstein 3D,GBA,2002,MeanPlaytime,0.266666667
683,FlatOut,PS2,2004,MeanPlaytime,1.0875
684,FlatOut,XB,2004,MeanPlaytime,1.0875
685,Stormrise,PS3,2009,MeanPlaytime,0.45
686,Stormrise,X360,2009,MeanPlaytime,0.45
687,Stormrise,PC,2009,MeanPlaytime,0.45
688,Anno 2205,PC,2015,MeanPlaytime,22
689,Hospital Tycoon,PC,2007,MeanPlaytime,1.56
690,Crazy Taxi,PS2,2001,MeanPlaytime,0.6
691,Crazy Taxi,DC,2000,MeanPlaytime,0.6
692,Crazy Taxi,GC,2001,MeanPlaytime,0.6
693,Section 8,X360,2009,MeanPlaytime,13.56666667
694,Section 8,PC,2009,MeanPlaytime,13.56666667
695,The Golf Club,PS4,2014,MeanPlaytime,10.45
696,The Golf Club,XOne,2014,MeanPlaytime,10.45
697,Dollar Dash,PS2,2005,MeanPlaytime,1
698,Shadow Man,N64,1999,MeanPlaytime,0.3
699,Shadow Man,PS,1998,MeanPlaytime,0.3
700,Stubbs the Zombie in Rebel Without a Pulse,XB,2005,MeanPlaytime,2.55
701,Red Faction II,PS2,2002,MeanPlaytime,4.466666667
702,Red Faction II,XB,2003,MeanPlaytime,4.466666667
703,Red Faction II,GC,2003,MeanPlaytime,4.466666667
704,Beyond Good & Evil,PS2,2003,MeanPlaytime,4.733333333
705,Beyond Good & Evil,XB,2003,MeanPlaytime,4.733333333
706,Beyond Good & Evil,GC,2003,MeanPlaytime,4.733333333
707,Guild Wars Trilogy,PC,2005,MeanPlaytime,9.9
708,Puzzle Chronicles,PSP,2010,MeanPlaytime,0.9
709,Velvet Assassin,X360,2009,MeanPlaytime,1.75
710,The Night of the Rabbit,PC,2013,MeanPlaytime,8.4
711,Gun Metal,XB,2002,MeanPlaytime,4.45
712,Lara Croft and the Temple of Osiris,PS4,2014,MeanPlaytime,4.625
713,Lara Croft and the Temple of Osiris,PC,2014,MeanPlaytime,4.625
714,MX vs. ATV Reflex,PS3,2009,MeanPlaytime,5.128571429
715,MX vs. ATV Reflex,X360,2009,MeanPlaytime,5.128571429
716,MX vs. ATV Reflex,PSP,2009,MeanPlaytime,5.128571429
717,MX vs. ATV Reflex,DS,2009,MeanPlaytime,5.128571429
718,Praetorians,PC,2003,MeanPlaytime,0.15
719,GTR Evolution,PC,2008,MeanPlaytime,6.933333333
720,Clockwork Empires,PC,,MeanPlaytime,8.5
721,Shantae and the Pirate's Curse,3DS,2015,MeanPlaytime,5.125
722,Damnation,PS3,2009,MeanPlaytime,0.2
723,Damnation,X360,2009,MeanPlaytime,0.2
724,MX vs. ATV Supercross Encore,PS4,2015,MeanPlaytime,3.9
725,MX vs. ATV Supercross Encore,XOne,2015,MeanPlaytime,3.9
726,Elven Legacy,PC,2009,MeanPlaytime,8.6
727,Worms,PS3,2009,MeanPlaytime,0.5
728,Worms,X360,2007,MeanPlaytime,0.5
729,Obscure,PS2,2004,MeanPlaytime,7.9
730,Obscure,XB,2004,MeanPlaytime,7.9
731,Haunted House,Wii,2010,MeanPlaytime,0.2
732,Republique,PS4,2016,MeanPlaytime,3.65
733,Still Life,XB,2005,MeanPlaytime,0.4
734,Crazy Machines,DS,2008,MeanPlaytime,1.3
735,Crazy Machines,Wii,2010,MeanPlaytime,1.3
736,Impossible Creatures,PC,2002,MeanPlaytime,1.1
737,Monopoly,PC,1994,MeanPlaytime,4.725
738,Monopoly,Wii,2008,MeanPlaytime,4.725
739,Monopoly,PS,1997,MeanPlaytime,4.725
740,Monopoly,X360,2008,MeanPlaytime,4.725
741,Monopoly,PS2,2008,MeanPlaytime,4.725
742,Monopoly,PS3,2008,MeanPlaytime,4.725
743,Monopoly,DS,2010,MeanPlaytime,4.725
744,Monopoly,N64,1999,MeanPlaytime,4.725
745,Split/Second,PS3,2010,MeanPlaytime,3.95
746,Split/Second,X360,2010,MeanPlaytime,3.95
747,Split/Second,PSP,2010,MeanPlaytime,3.95
748,Split/Second,PC,2010,MeanPlaytime,3.95
749,RollerCoaster Tycoon,XB,2003,MeanPlaytime,1.4
750,RollerCoaster Tycoon,PC,,MeanPlaytime,1.4
751,Dawn of Discovery,PC,2009,MeanPlaytime,9.1
752,Dawn of Discovery,Wii,2009,MeanPlaytime,9.1
753,Dawn of Discovery,DS,2009,MeanPlaytime,9.1
754,Ski Region Simulator,PC,2011,MeanPlaytime,5.7
755,Call of Juarez,X360,2007,MeanPlaytime,6
756,Call of Juarez,PC,2006,MeanPlaytime,6
757,Gray Matter,PC,2011,MeanPlaytime,12.6
758,Gray Matter,X360,2011,MeanPlaytime,12.6
759,The Book of Unwritten Tales 2,PS4,2015,MeanPlaytime,13.5
760,The Book of Unwritten Tales 2,WiiU,2016,MeanPlaytime,13.5
761,Clive Barker's Jericho,X360,2007,MeanPlaytime,7.95
762,Clive Barker's Jericho,PS3,2007,MeanPlaytime,7.95
763,Clive Barker's Jericho,PC,2007,MeanPlaytime,7.95
764,Post Mortem,PC,2003,MeanPlaytime,2.1
765,Ford Racing 3,PS2,2004,MeanPlaytime,0.5
766,Ford Racing 3,DS,2005,MeanPlaytime,0.5
767,Ford Racing 3,XB,2004,MeanPlaytime,0.5
768,Ford Racing 3,GBA,2005,MeanPlaytime,0.5
769,Shattered Union,XB,2005,MeanPlaytime,116
770,Port Royale 2,PC,2004,MeanPlaytime,43.95
771,Blitzkrieg 2 Anthology,PC,2008,MeanPlaytime,7.266666667
772,Rogue Trooper,PS2,2006,MeanPlaytime,5.3
773,Rogue Trooper,XB,2006,MeanPlaytime,5.3
774,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,MeanPlaytime,18.6
775,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,MeanPlaytime,18.6
776,Colin McRae Rally,PS,1998,MeanPlaytime,3.3
777,Guilty Gear Isuka,PS2,2004,MeanPlaytime,1.6
778,The Club,X360,2008,MeanPlaytime,1.3
779,The Club,PS3,2008,MeanPlaytime,1.3
780,Azure Striker Gunvolt,3DS,2016,MeanPlaytime,5.5
781,Midnight Club II,PS2,2003,MeanPlaytime,7.133333333
782,Midnight Club II,XB,2003,MeanPlaytime,7.133333333
783,Pro Evolution Soccer 2014,PS3,2013,MeanPlaytime,59.63333333
784,Pro Evolution Soccer 2014,X360,2013,MeanPlaytime,59.63333333
785,Pro Evolution Soccer 2014,3DS,2013,MeanPlaytime,59.63333333
786,Pro Evolution Soccer 2014,PSP,2013,MeanPlaytime,59.63333333
787,Pro Evolution Soccer 2014,PC,2013,MeanPlaytime,59.63333333
788,Darkstone,PS,2001,MeanPlaytime,18.6
789,Puzzle Quest 2,DS,2010,MeanPlaytime,1.4
790,Don Bradman Cricket 14,PS4,2015,MeanPlaytime,89
791,Don Bradman Cricket 14,XOne,2015,MeanPlaytime,89
792,Don Bradman Cricket 14,PS3,2014,MeanPlaytime,89
793,Wolfenstein,PS3,2009,MeanPlaytime,26
794,Wolfenstein,X360,2009,MeanPlaytime,26
795,Wolfenstein,PC,2009,MeanPlaytime,26
796,Mega Man Legacy Collection,3DS,2016,MeanPlaytime,6.4
797,Mega Man Legacy Collection,PS4,2016,MeanPlaytime,6.4
798,BloodRayne 2,PS2,2004,MeanPlaytime,2.9
799,BloodRayne 2,XB,2004,MeanPlaytime,2.9
800,The Whispered World,PC,2009,MeanPlaytime,1.6
801,NBA 2K11,X360,2010,MeanPlaytime,0.2
802,NBA 2K11,PS3,2010,MeanPlaytime,0.2
803,NBA 2K11,Wii,2010,MeanPlaytime,0.2
804,NBA 2K11,PSP,2010,MeanPlaytime,0.2
805,NBA 2K11,PS2,2010,MeanPlaytime,0.2
806,NBA 2K11,PC,2010,MeanPlaytime,0.2
807,Wildlife Park 3,PC,2011,MeanPlaytime,4
808,NBA 2K12,X360,2011,MeanPlaytime,91.25
809,NBA 2K12,PS3,2011,MeanPlaytime,91.25
810,NBA 2K12,Wii,2011,MeanPlaytime,91.25
811,NBA 2K12,PSP,2011,MeanPlaytime,91.25
812,NBA 2K12,PC,2011,MeanPlaytime,91.25
813,Tom Clancy's Ghost Recon,PS2,2002,MeanPlaytime,0.25
814,Tom Clancy's Ghost Recon,XB,2002,MeanPlaytime,0.25
815,Tom Clancy's Ghost Recon,GC,2003,MeanPlaytime,0.25
816,Tom Clancy's Ghost Recon,Wii,2010,MeanPlaytime,0.25
817,Pro Evolution Soccer 2013,PS3,2012,MeanPlaytime,5.6
818,Pro Evolution Soccer 2013,X360,2012,MeanPlaytime,5.6
819,Pro Evolution Soccer 2013,PSP,2012,MeanPlaytime,5.6
820,Pro Evolution Soccer 2013,3DS,2012,MeanPlaytime,5.6
821,Pro Evolution Soccer 2013,Wii,2012,MeanPlaytime,5.6
822,Pro Evolution Soccer 2013,PC,2012,MeanPlaytime,5.6
823,Breach,PC,2011,MeanPlaytime,4.266666667
824,Dream Pinball 3D,Wii,2008,MeanPlaytime,0.4
825,Dream Pinball 3D,DS,2008,MeanPlaytime,0.4
826,Bionic Commando,PS3,2009,MeanPlaytime,1.2
827,Bionic Commando,X360,2009,MeanPlaytime,1.2
828,Championship Manager 2010,PC,2009,MeanPlaytime,10.7
829,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,MeanPlaytime,0.366666667
830,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,MeanPlaytime,0.366666667
831,Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,MeanPlaytime,0.366666667
832,Imperial Glory,PC,2005,MeanPlaytime,170
833,Jack Keane,PC,2008,MeanPlaytime,2.2
834,BloodRayne,PS2,2002,MeanPlaytime,6.6
835,BloodRayne,XB,2002,MeanPlaytime,6.6
836,BloodRayne,GC,2002,MeanPlaytime,6.6
837,Worldwide Soccer Manager 2009,PC,2008,MeanPlaytime,295
16719,Fallout 4,PS4,2015,MedianPlaytime,46
16720,Fallout 4,XOne,2015,MedianPlaytime,46
16721,Fallout 4,PC,2015,MedianPlaytime,46
16722,Spore,PC,2008,MedianPlaytime,6.65
16723,Left 4 Dead 2,X360,2009,MedianPlaytime,10.5
16724,Left 4 Dead 2,PC,2009,MedianPlaytime,10.5
16725,Left 4 Dead,X360,2008,MedianPlaytime,7.9
16726,Left 4 Dead,PC,2008,MedianPlaytime,7.9
16727,Tomb Raider,PS,1996,MedianPlaytime,11.55
16728,Tomb Raider,PC,1996,MedianPlaytime,11.55
16729,BioShock Infinite,X360,2013,MedianPlaytime,11.9
16730,BioShock Infinite,PS3,2013,MedianPlaytime,11.9
16731,BioShock Infinite,PC,2013,MedianPlaytime,11.9
16732,Grand Theft Auto IV,X360,2008,MedianPlaytime,7.55
16733,Grand Theft Auto IV,PS3,2008,MedianPlaytime,7.55
16734,Grand Theft Auto IV,PC,2008,MedianPlaytime,7.55
16735,BioShock,X360,2007,MedianPlaytime,2.4
16736,BioShock,PS3,2008,MedianPlaytime,2.4
16737,BioShock,PC,2007,MedianPlaytime,2.4
16738,Ultra Street Fighter IV,PS4,2015,MedianPlaytime,4
16739,Sid Meier's Civilization V,PC,2010,MedianPlaytime,37
16740,L.A. Noire,PS3,2011,MedianPlaytime,5.65
16741,L.A. Noire,X360,2011,MedianPlaytime,5.65
16742,7 Days to Die,PS4,2016,MedianPlaytime,11
16743,7 Days to Die,XOne,2016,MedianPlaytime,11
16744,Company of Heroes,PC,2006,MedianPlaytime,3.1
16745,Assassin's Creed II,PS3,2009,MedianPlaytime,23
16746,Assassin's Creed II,X360,2009,MedianPlaytime,23
16747,Assassin's Creed II,PC,2010,MedianPlaytime,23
16748,Grand Theft Auto V,PS3,2013,MedianPlaytime,49
16749,Grand Theft Auto V,X360,2013,MedianPlaytime,49
16750,Grand Theft Auto V,PS4,2014,MedianPlaytime,49
16751,Grand Theft Auto V,XOne,2014,MedianPlaytime,49
16752,Grand Theft Auto V,PC,2015,MedianPlaytime,49
16753,Far Cry 3,PS3,2012,MedianPlaytime,17.8
16754,Far Cry 3,X360,2012,MedianPlaytime,17.8
16755,Far Cry 3,PC,2012,MedianPlaytime,17.8
16756,Rocket League,PS4,2016,MedianPlaytime,18.8
16757,Rocket League,XOne,2016,MedianPlaytime,18.8
16758,Rocket League,PC,2016,MedianPlaytime,18.8
16759,Far Cry 4,PS4,2014,MedianPlaytime,25
16760,Far Cry 4,XOne,2014,MedianPlaytime,25
16761,Far Cry 4,PS3,2014,MedianPlaytime,25
16762,Far Cry 4,X360,2014,MedianPlaytime,25
16763,Far Cry 4,PC,2014,MedianPlaytime,25
16764,Dying Light,PS4,2015,MedianPlaytime,23
16765,Dying Light,XOne,2015,MedianPlaytime,23
16766,Dying Light,PC,2015,MedianPlaytime,23
16767,Just Cause 2,PS3,2010,MedianPlaytime,3.5
16768,Just Cause 2,X360,2010,MedianPlaytime,3.5
16769,Just Cause 2,PC,2010,MedianPlaytime,3.5
16770,Mirror's Edge,X360,2008,MedianPlaytime,1.9
16771,Mirror's Edge,PS3,2008,MedianPlaytime,1.9
16772,Mirror's Edge,PC,2009,MedianPlaytime,1.9
16773,Portal 2,X360,2011,MedianPlaytime,10.8
16774,Portal 2,PS3,2011,MedianPlaytime,10.8
16775,Portal 2,PC,2011,MedianPlaytime,10.8
16776,Tropico 4,X360,,MedianPlaytime,13.6
16777,Tropico 4,PC,2011,MedianPlaytime,13.6
16778,F.E.A.R.,PS3,2007,MedianPlaytime,2
16779,F.E.A.R.,X360,2006,MedianPlaytime,2
16780,Sleeping Dogs,PS3,2012,MedianPlaytime,19.6
16781,Sleeping Dogs,X360,2012,MedianPlaytime,19.6
16782,Sleeping Dogs,PS4,2014,MedianPlaytime,19.6
16783,Sleeping Dogs,XOne,2014,MedianPlaytime,19.6
16784,Sleeping Dogs,PC,2012,MedianPlaytime,19.6
16785,Saints Row IV,X360,2013,MedianPlaytime,13.5
16786,Saints Row IV,PS3,2013,MedianPlaytime,13.5
16787,Saints Row IV,PS4,2015,MedianPlaytime,13.5
16788,Saints Row IV,XOne,2015,MedianPlaytime,13.5
16789,Saints Row IV,PC,2013,MedianPlaytime,13.5
16790,Half-Life 2,PC,2004,MedianPlaytime,6.6
16791,Half-Life 2,XB,2005,MedianPlaytime,6.6
16792,The Talos Principle,PS4,2015,MedianPlaytime,7.15
16793,DiRT 3,PS3,2011,MedianPlaytime,2.7
16794,DiRT 3,X360,2011,MedianPlaytime,2.7
16795,DiRT 3,PC,2011,MedianPlaytime,2.7
16796,Metro 2033,X360,2010,MedianPlaytime,3.2
16797,Metro 2033,PC,2010,MedianPlaytime,3.2
16798,Assassin's Creed III,PS3,2012,MedianPlaytime,23
16799,Assassin's Creed III,X360,2012,MedianPlaytime,23
16800,Assassin's Creed III,PC,2012,MedianPlaytime,23
16801,Assassin's Creed III,WiiU,2012,MedianPlaytime,23
16802,Sniper Elite 3,PS4,2014,MedianPlaytime,6.6
16803,Sniper Elite 3,XOne,2014,MedianPlaytime,6.6
16804,Sniper Elite 3,X360,2014,MedianPlaytime,6.6
16805,Sniper Elite 3,PS3,2014,MedianPlaytime,6.6
16806,Dishonored,X360,2012,MedianPlaytime,12.5
16807,Dishonored,PS3,2012,MedianPlaytime,12.5
16808,Dishonored,PC,2012,MedianPlaytime,12.5
16809,Dishonored,PS4,2015,MedianPlaytime,12.5
16810,Dishonored,XOne,2015,MedianPlaytime,12.5
16811,Dead Space,PS3,2008,MedianPlaytime,1.5
16812,Dead Space,X360,2008,MedianPlaytime,1.5
16813,Dead Space,PC,2008,MedianPlaytime,1.5
16814,The Binding of Isaac,PC,2012,MedianPlaytime,6.1
16815,LEGO The Lord of the Rings,X360,2012,MedianPlaytime,3.35
16816,LEGO The Lord of the Rings,PS3,2012,MedianPlaytime,3.35
16817,LEGO The Lord of the Rings,Wii,2012,MedianPlaytime,3.35
16818,LEGO The Lord of the Rings,3DS,2012,MedianPlaytime,3.35
16819,LEGO The Lord of the Rings,PSV,2012,MedianPlaytime,3.35
16820,LEGO The Lord of the Rings,PC,2012,MedianPlaytime,3.35
16821,LEGO The Lord of the Rings,DS,2012,MedianPlaytime,3.35
16822,Goat Simulator,XOne,2016,MedianPlaytime,2.4
16823,Mass Effect,X360,2007,MedianPlaytime,11.5
16824,Mass Effect,PC,2008,MedianPlaytime,11.5
16825,DiRT Showdown,X360,2012,MedianPlaytime,4
16826,DiRT Showdown,PS3,2012,MedianPlaytime,4
16827,Borderlands 2,X360,2012,MedianPlaytime,22
16828,Borderlands 2,PS3,2012,MedianPlaytime,22
16829,Borderlands 2,PC,2012,MedianPlaytime,22
16830,Borderlands 2,PSV,2014,MedianPlaytime,22
16831,Trine,PC,2009,MedianPlaytime,3.45
16832,Far Cry 2,X360,2008,MedianPlaytime,1.7
16833,Far Cry 2,PS3,2008,MedianPlaytime,1.7
16834,Far Cry 2,PC,2008,MedianPlaytime,1.7
16835,Oil Rush,PC,2012,MedianPlaytime,0.6
16836,Psychonauts,XB,2005,MedianPlaytime,2.95
16837,Psychonauts,PS2,2005,MedianPlaytime,2.95
16838,Dead Island,X360,2011,MedianPlaytime,7.6
16839,Dead Island,PS3,2011,MedianPlaytime,7.6
16840,Dead Island,PC,2011,MedianPlaytime,7.6
16841,GRID 2,PS3,2013,MedianPlaytime,10.3
16842,GRID 2,X360,2013,MedianPlaytime,10.3
16843,GRID 2,PC,2013,MedianPlaytime,10.3
16844,Sonic & All-Stars Racing Transformed,X360,2012,MedianPlaytime,2.45
16845,Sonic & All-Stars Racing Transformed,WiiU,2012,MedianPlaytime,2.45
16846,Sonic & All-Stars Racing Transformed,PS3,2012,MedianPlaytime,2.45
16847,Sonic & All-Stars Racing Transformed,PSV,2012,MedianPlaytime,2.45
16848,Sonic & All-Stars Racing Transformed,3DS,2012,MedianPlaytime,2.45
16849,Sonic & All-Stars Racing Transformed,PC,2013,MedianPlaytime,2.45
16850,Prison Architect,PS4,2016,MedianPlaytime,12.5
16851,Prison Architect,XOne,2016,MedianPlaytime,12.5
16852,Valkyria Chronicles,PS3,2008,MedianPlaytime,5.2
16853,Valkyria Chronicles,PS4,2016,MedianPlaytime,5.2
16854,The Crew,PS4,2014,MedianPlaytime,23
16855,The Crew,XOne,2014,MedianPlaytime,23
16856,The Crew,X360,2014,MedianPlaytime,23
16857,The Crew,PC,2014,MedianPlaytime,23
16858,Sonic Generations,PS3,2011,MedianPlaytime,1.95
16859,Sonic Generations,X360,2011,MedianPlaytime,1.95
16860,Sonic Generations,3DS,2011,MedianPlaytime,1.95
16861,Sonic Generations,PC,2011,MedianPlaytime,1.95
